"Story","Title","Result","Date","Stability","Duration (s)"
"buyproduct","add product to cart and remove in store","SUCCESS","2019-09-21T20:09:21.06-05:00[America/Bogota]","0.0","37.31"
"buyproduct","add product to cart and select home delivery","SUCCESS","2019-09-21T20:09:59.413-05:00[America/Bogota]","0.0","39.48"
